master_id,language,review_text,title,rating,sentiment,category,designation,company,date,source
MR-1050,English,Every instructor here brings genuine expertise and enthusiasm. You never feel like you're just another number in the class. Highly recommend the foundation series.,Top-notch instructors,5,Positive,Fitness Center,,,,
MR-1051,English,I have high arches and these don't provide adequate support for me. Fine for neutral runners but not suitable for those needing significant arch correction.,Not enough arch support,2,Negative,Footwear,,,,
MR-1052,English,Gentle formula for babies and adults . Soft baby powder scent and gets the job done,Gentle formula for babies and adults...,3,Neutral,Baby Care,,,,
MR-1053,English,These worked great as expected although the distance they are readable from is not very good around 50 m. It lost connection.,These worked great as expected although...,5,Positive,Technology,,,,
MR-1054,English,The size is generous and a little goes a long way. Been using the same bottle for two months with daily baths and it's still going strong.,Huge bottle great value,4,Positive,Baby Care,,,,
MR-1055,English,Not just a performance shoe—looks great for casual wear too. The colorway is sharp and I get compliments every time I wear them to the gym.,Stylish and functional,4,Positive,Footwear,,,,
MR-1056,English,"Compared to the cost of replacing lost items, the AirTag is extremely cost-effective. Highly recommend for anyone who travels frequently.",Excellent value for peace of mind,4,Positive,Technology,,,,
MR-1057,English,I was a little suspicious buying something like this off of Amazon but the other reviews were promising. It ended up being just fine. I used it to put into my checked luggage and it added an extra sense of security knowing that I could keep an eye on my personal belongings while traveling. Some times it would take a little longer to update but I did not experience any long term issues. Good gift to get someone too! I will be getting more. Arrived in good condition.,I was a little suspicious buying...,4,Positive,Technology,,,,
MR-1058,English,"For a small Bluetooth tracker, the price is steep especially when you need multiple units. Competitors offer similar tracking at lower cost.",Expensive for what it is,2,Negative,Technology,,,,
MR-1059,English,Third time purchasing and the pump failed again within a week. This is a known issue. Please fix the dispensing mechanism.,Clogged pump again,1,Negative,Baby Care,,,,
MR-1060,English,"Coming from heavier training shoes, the weight difference is remarkable. Feel more responsive and quicker on my feet. Noticed improved pace on tempo runs.",Lightweight and responsive,5,Positive,Footwear,,,,
MR-1061,English,Confortable for running,Confortable for running,3,Neutral,Footwear,,,,
MR-1062,English,Translate review to English,Translate review to English,3,Neutral,Footwear,,,,
MR-1063,English,Attached one to my dog's collar with a holder. When she escaped the yard I tracked her to a neighbor's garden within minutes. Lifesaver.,Great for pets,5,Positive,Technology,,,,
MR-1064,English,"It's a baby wash. Baby gets clean, no reactions, decent size. Nothing magical about it but nothing bad either. Would buy again if on sale.",Does the job,3,Neutral,Baby Care,,,,
MR-1065,English,Traveling with kids and luggage is stressful. Having AirTags in every bag means I can quickly confirm everything is loaded and moving with me.,Peace of mind for travel,5,Positive,Technology,,,,
MR-1066,English,"Great instructors but impossible to book any slot for reformer classes (both on website and on APP). I usually go with 3 friends and we book diligently at 10pm daily with multiple devices on different classes that falls on weekdays between 7-9pm. If we’re lucky, only one of us will get into a single digit waiting list which usually will be enrolled the day before the class. Yes it is affordable here but since the package has expiry, it is fairly expensive with the number of classes you will end up wasting (or enter into a frustration phase of kept trying to book everyday to finish the package like me, your choice). If I were to pay for more expensive classes, I would rather stick with Upside Motion, the classes there are smaller (you can spread ur arms fully without hitting others or the mirror unlike Absolute) and the machine there has better quality. FYI, I’m with absolute for almost a year and I had this frustration since my signup, naively believed that the difficulty to book is just temporary because we were on trial and it will be better after I signup. So for those who are planning to signup with the intention to only go for after working hours classes like myself, I strongly suggest you reconsider!",Great instructors but impossible to book...,3,Neutral,Fitness Center,,,,
MR-1067,English,The pilates reformer classes here are thorough and challenging. The instructor always takes time to correct individual form which I really appreciate.,Love the pilates,4,Positive,Fitness Center,,,,
MR-1068,English,"Set up four AirTags for our family—keys, school bags, and the family car. Everyone can see their own items on their phones. Setup was incredibly simple.",Great for family use,4,Positive,Technology,,,,
MR-1069,English,Translate review to English,Translate review to English,3,Neutral,Footwear,,,,
MR-1070,English,Had my AirTag for over a year and still on the original battery. CR2032 replacement is cheap and easy. Incredibly efficient device.,Impressive battery life,5,Positive,Technology,,,,
MR-1071,English,"It's an Apple Airtag, what can I say?  Easy to setup, will do what I need it to.","It's an Apple Airtag, what can...",3,Neutral,Technology,,,,
MR-1072,English,Ordered my usual size 10 and they were tight across the toe box. Had to exchange for 10.5. Nike should update their size guide for this model.,Sizing runs small,2,Negative,Footwear,,,,
MR-1073,English,They arrived on time. Love my new shoes,They arrived on time. Love my...,5,Positive,Footwear,,,,
MR-1074,English,"Paid $59 for 4 trial lessons. Absolute nightmare of a booking system. Booking opens up at 10am every night, app lags like mad, by the time it’s 1020, every spot is unavailable / taken, I’m on waitlist number 20-40, it’s impossible to get a class and the package only lasts 4 weeks. My friend wasn’t refunded a credit or allowed to extend her package even though she caught Covid. Lousy booking system and inflexible team. Yikes",Paid $59 for 4 trial lessons...,2,Negative,Fitness Center,,,,
MR-1075,English,"These are some great style NIKE but definitely not what you'd wear for running. They just don't have the necessary bounce in the forefoot to provide adequate cushioning and the heel has barely the reflex to justify these as runners. These are more of a ""Street Style"" casual dress shoes, and here's where they excel, in looks and short term comfort for daily wear. Additionally: Order a Half to Whole Size larger than your normal size.",These are some great style NIKE...,4,Positive,Footwear,,,,
MR-1076,English,The blue in the photos looks vibrant but the actual shoe is noticeably darker. The pictures are clearly enhanced. Functional shoe but disappointing presentation.,Color looks different in person,2,Negative,Footwear,,,,
MR-1077,English,"Coming from heavier training shoes, the weight difference is remarkable. Feel more responsive and quicker on my feet. Noticed improved pace on tempo runs.",Lightweight and responsive,5,Positive,Footwear,,,,
MR-1078,English,"Used this from day one for our twins. Their skin stayed soft and hydrated even in dry winter months. The scent is subtle and clean, not overpowering.",Amazing for newborns,5,Positive,Baby Care,,,,
MR-1079,English,The studio is very spacious and clean. I like that studio offers both spin and pilates classes. Challenging workouts but high energy and great vibes!,The studio is very spacious and...,4,Positive,Fitness Center,,,,
MR-1080,English,"Good quality as I would expect from Apple. I chose to purchase from Amazon because the price was slightly lower. And on Apple I could only get either one or four, and here I could get two which is exactly what I needed.",Good quality as I would expect...,4,Positive,Technology,,,,
MR-1081,English,"Clean bikes, good sound system, and instructors who actually push you without being aggressive about it. Perfect for my lunch break workouts.",Solid spin studio,4,Positive,Fitness Center,,,,
MR-1082,English,The Android app for detecting unwanted AirTags is functional but unreliable. Apple should invest more in making this work better for non-iPhone users.,Android alert app is clunky,2,Negative,Technology,,,,
MR-1083,English,"It's a baby wash. Baby gets clean, no reactions, decent size. Nothing magical about it but nothing bad either. Would buy again if on sale.",Does the job,3,Neutral,Baby Care,,,,
MR-1084,English,I brought the package on November 11.11 Sales. But I couldn't book for one one class at all. The system always put me to waiting list and the worst part is they never get me to the class for once. I will never go to this place anymore. Is a bad experience.,I brought the package on November...,2,Negative,Fitness Center,,,,
MR-1085,English,"Been to many spin studios, absolute cycle is definitely the best among all. Great playlist, great & fun trainers, definitely a happy place to relieve the stress","Been to many spin studios, absolute...",5,Positive,Fitness Center,,,,
MR-1086,English,"Premium price but premium experience. The instructors genuinely care about your progress. Got stronger, fitter, and more flexible in three months.",Worth every cent,5,Positive,Fitness Center,,,,
MR-1087,English,Ordered my usual size and the fit was spot-on. Toe box has enough room without being sloppy. Heel lock is secure. Very pleased with the fit.,True to size,4,Positive,Footwear,,,,
MR-1088,English,Baby had contact dermatitis and the dermatologist specifically recommended Aveeno. Two weeks in and the redness has cleared up. Continuing to use long-term.,Recommended by our dermatologist,5,Positive,Baby Care,,,,
MR-1089,English,"Despite the marketing and recommendations, my son's eczema didn't improve. Every baby is different—this may work for others but didn't for us.",Didn't help with eczema,1,Negative,Baby Care,,,,
MR-1090,English,Just retired my pair after over 500 miles of running. They lasted well and the cushioning held up far longer than expected. Buying the same model again.,Durable after 500+ miles,5,Positive,Footwear,,,,
MR-1091,English,"If you frequently lose things the AirTag is great. If you don't, it'll sit unused. Consider whether you genuinely need it before buying.",Useful but niche,3,Neutral,Technology,,,,
MR-1092,English,Works fine but at double the price of store-brand baby wash with similar ingredients. Not sure the premium is justified unless your baby has specific skin issues.,Pricey compared to alternatives,2,Negative,Baby Care,,,,
MR-1093,English,Does exactly what a baby wash should do: cleans gently without stripping natural moisture. Baby's skin feels soft after every bath and not tight or dry.,Gentle and effective,4,Positive,Baby Care,,,,
MR-1094,English,Just retired my pair after over 500 miles of running. They lasted well and the cushioning held up far longer than expected. Buying the same model again.,Durable after 500+ miles,5,Positive,Footwear,,,,
MR-1095,English,Already came in handy! Got it for the pup and he ran out today and we found him in no time at all!!,Already came in handy! Got it...,3,Neutral,Technology,,,,
MR-1096,English,"Airtags are great.  They came in very handy for giving me peace of mind during some long-distance travel.  I had my car shipped for part of the trip and I could watch on an iPhone map where in the country my car was at any minute.  Also, if you have one in your wallet or purse or key ring and you can’t find those in your house, just click on the phone app and it will show you how to walk to the right place within a certain distance (30’ I think) to find your missing keys, etc.  I’d rate it a “5” except in the four-pack of Air Tags I bought only 3 worked even after replacing the battery.",Airtags are great. They came in...,4,Positive,Technology,,,,
MR-1097,English,Long-time user and the scent seems different from what I remember. Hoping it's not a formula change. Slightly concerned but will monitor baby's skin reaction.,Scent changed from original formula,2,Negative,Baby Care,,,,
MR-1098,English,"My newborn had eczema flare-ups with other brands. Switched to Aveeno Baby and within two weeks her skin improved dramatically. Gentle, effective, and no nasty ingredients.",Perfect for sensitive baby skin,5,Positive,Baby Care,,,,
MR-1099,English,"I have a 17 year old pitbull. They're known to have sensitive skin and because she is sometimes incontinent I have to bathe her more frequently. So I like the extra big bottle.I have tried a few different baby shampoos in the past, always leaning towards organic.  There is no scent to speak of with this one, but it is very mild and gentle. And I chose it for the oatmeal for her skin. You don't need to use too much to get her covered.She already has a beautiful silky soft coat, but after 2 baths with this I do notice her coat is extra soft and shiny.",I have a 17 year old...,3,Neutral,Baby Care,,,,
MR-1100,English,Took nearly three weeks to break in properly. Had blisters in week one. Expected better out-of-the-box comfort from a premium Nike model.,Too stiff initially,2,Negative,Footwear,,,,
MR-1101,English,Upgraded from the previous version hoping for improvement. Feels largely the same. Not disappointed but not wowed either. Consistent quality.,Similar to previous model,3,Neutral,Footwear,,,,
MR-1102,English,The spin classes are good but the pilates felt rushed. Studio is clean and staff are polite. Pricing is on the higher end for what you get.,Mixed feelings,3,Neutral,Fitness Center,,,,
MR-1103,English,Run on a mix of pavement and light trail. These handle both well. The outsole pattern provides confident grip even on wet surfaces.,Good grip on all surfaces,4,Positive,Footwear,,,,
MR-1104,English,The responsiveness described in the marketing is somewhat exaggerated. Fine shoe for the price but not the performance upgrade I was hoping for.,Good but not as advertised,3,Neutral,Footwear,,,,
MR-1105,English,"These shoes do what running shoes should do. No complaints, no praise. Comfortable, reasonably priced, reasonable durability. A solid B-grade product.",Functional and nothing more,3,Neutral,Footwear,,,,
MR-1106,English,Useful occasionally but most of the time I just remember where I left things. Maybe more useful for people who travel frequently or have kids.,Mixed value proposition,3,Neutral,Technology,,,,
MR-1107,English,"Usually the first week is hell for new shoes but these are very comfortable from the start.  Hoping they won't stretch out too much.Normally wear 10.5 but ordered 11.0.  Perfect fit so my opinion, they run small. Also is a narrow shoe. I have narrow and flat feet so the arch support is more than adequate and comfortable. Noticeable support without discomfort.I hope their durability is as great as the fit. Gave up on Nike years ago because their shoes fell apart after months.",Usually the first week is hell...,5,Positive,Footwear,,,,
MR-1108,English,The AirTag works as advertised. Range is limited in some situations and the need to buy holders adds to the cost. Solid but not revolutionary.,Functional but pricey,3,Neutral,Technology,,,,
MR-1109,English,"If you're in the Apple ecosystem, the AirTag is a no-brainer. Setup took under a minute and the Find My integration is flawless.",Seamless Apple ecosystem integration,5,Positive,Technology,,,,
MR-1110,English,"Love the reformer pilates classes. Both the Centrepoint and Raffles Place studios are nice, clean and spacious! The only downside is that it is quite difficult to book a class due to issues with the app",Love the reformer pilates classes. Both...,5,Positive,Fitness Center,,,,
MR-1111,English,This is a great way to have your belongings safe and know where it is at all times. It even makes an alarm noise to know where it is or alert someone that the belonging is lost. You can you the find my phone app to access this and is a great way to feel secure while on the go. Totally recommend it!,This is a great way to...,4,Positive,Technology,,,,
MR-1112,English,Realised after buying that you need an iPhone for full functionality. iPad-only users get a degraded experience. Should be clearer in the marketing.,Only works with iPhone,1,Negative,Technology,,,,
MR-1113,English,I was hesitant to join a boutique studio but AbsoluteYou proved me wrong completely. The personalized attention in each class and the sense of community has kept me consistent for six months now.,Transformed my fitness,5,Positive,Fitness Center,,,,
MR-1114,English,Every instructor here brings genuine expertise and enthusiasm. You never feel like you're just another number in the class. Highly recommend the foundation series.,Top-notch instructors,5,Positive,Fitness Center,,,,
MR-1115,English,"Ive bought a pair of Torch 4 every year since 2013 I think.  I go through Tennis Shoes quickly.  I love the color scheme of this pair.  However as they get dirty you can really see darker stains.I love the comfort of the Torch 4, especially the sole.  I wear orthotics, and they work great in these shoes.  I do find over time the cushion fades and the support is lost.  This is a big reason I buy new ones yearly.  Plus the sole and fabric wears after heavy use.The only downside really is the length of the laces.  You have to really lace these tight to be able to tie in a bow.I have found these cheaper on sale in stores, but I would buy them again at this price.Update 12/2020: I did in fact buy another pair.  First pair had the material against the heel wear a hole making it uncomfortable.  I wouldnt say they were defective as I wore them for over 4 months almost daily and I wear insoles.  So it was just wear and tear in my opinion.",Ive bought a pair of Torch...,5,Positive,Footwear,,,,
MR-1116,English,"Despite the marketing and recommendations, my son's eczema didn't improve. Every baby is different—this may work for others but didn't for us.",Didn't help with eczema,1,Negative,Baby Care,,,,
MR-1117,English,Third time purchasing and the pump failed again within a week. This is a known issue. Please fix the dispensing mechanism.,Clogged pump again,1,Negative,Baby Care,,,,
MR-1118,English,Ordered my usual size 10 and they were tight across the toe box. Had to exchange for 10.5. Nike should update their size guide for this model.,Sizing runs small,2,Negative,Footwear,,,,
MR-1119,English,The pilates reformer classes here are thorough and challenging. The instructor always takes time to correct individual form which I really appreciate.,Love the pilates,4,Positive,Fitness Center,,,,
MR-1120,English,"Softness,smell so good,value for money 💯","Softness,smell so good,value for money 💯",5,Positive,Baby Care,,,,
MR-1121,English,"I have been using Aveeno Baby Daily for a few years now. I love the slight scent and my kids love it too. The price has gone up a bit, but it is still worth it. Big bottle lasts a long time. It is perfect for my kids sensitive skin. Sometimes, I use it too :)",I have been using Aveeno Baby...,4,Positive,Baby Care,,,,
MR-1122,English,"My newborn had eczema flare-ups with other brands. Switched to Aveeno Baby and within two weeks her skin improved dramatically. Gentle, effective, and no nasty ingredients.",Perfect for sensitive baby skin,5,Positive,Baby Care,,,,
MR-1123,English,The AirTag works as advertised. Range is limited in some situations and the need to buy holders adds to the cost. Solid but not revolutionary.,Functional but pricey,3,Neutral,Technology,,,,
MR-1124,English,"Used these throughout my half marathon training. Clocked over 400 miles and they're still in great shape. Durable, supportive, and consistently comfortable.",Great for marathon training,5,Positive,Footwear,,,,
MR-1125,English,I’ve never seem a worse customer service. They simply do not reply your email anymore in the middle of a conversation and just leave the problem unsolved. I’m stunned by how irresponsible the customer service person is. Super disappointed and would definitely explore other pilates studio after the current package is finished.,I’ve never seem a worse customer...,1,Negative,Fitness Center,,,,
MR-1126,English,"My newborn had eczema flare-ups with other brands. Switched to Aveeno Baby and within two weeks her skin improved dramatically. Gentle, effective, and no nasty ingredients.",Perfect for sensitive baby skin,5,Positive,Baby Care,,,,
MR-1127,English,"Solid, compact, IP67 water resistance. I accidentally put one through a full washing machine cycle and it still works perfectly.",Good build quality,4,Positive,Technology,,,,
MR-1128,English,Had to cancel last minute due to illness and was charged the full late-cancel fee. A bit rigid for a premium studio. Policy should have more flexibility.,Poor cancellation policy,2,Negative,Fitness Center,,,,
MR-1129,English,"Used these throughout my half marathon training. Clocked over 400 miles and they're still in great shape. Durable, supportive, and consistently comfortable.",Great for marathon training,5,Positive,Footwear,,,,
MR-1130,English,"Nice look, supportive sneaker, would buy again.","Nice look, supportive sneaker, would buy...",3,Neutral,Footwear,,,,
MR-1131,English,"The popular instructors' classes fill up within minutes of opening. Unless you're glued to your phone at exactly the right time, you won't get in.",Hard to book popular classes,1,Negative,Fitness Center,,,,
MR-1132,English,Ordered my usual size and the fit was spot-on. Toe box has enough room without being sloppy. Heel lock is secure. Very pleased with the fit.,True to size,4,Positive,Footwear,,,,
MR-1133,English,"My newborn had eczema flare-ups with other brands. Switched to Aveeno Baby and within two weeks her skin improved dramatically. Gentle, effective, and no nasty ingredients.",Perfect for sensitive baby skin,5,Positive,Baby Care,,,,
MR-1134,English,"Doctor recommended this for my toddler's eczema. Combined with the Aveeno lotion, it's been transformative. Skin stays calm and moisturized.",Great for eczema-prone skin,5,Positive,Baby Care,,,,
